High,Volume,Date
170.26351088458148,195432700,2021-12-17
167.42693392036205,107499100,2021-12-20
169.9984835275847,91185900,2021-12-21
172.6093214552471,92135300,2021-12-22
173.5810317235857,68356600,2021-12-23
177.085067441037,74919600,2021-12-27
177.97820636728795,79144300,2021-12-28
177.29119522816015,62348900,2021-12-29
177.23228437904302,59773000,2021-12-30
175.91702412287862,64062300,2021-12-31
179.4996045429641,104487900,2022-01-03
179.55845745447346,99310400,2022-01-04
176.83966343060845,94537600,2022-01-05
172.05965199706762,96904000,2022-01-06
170.92113587009246,86709100,2022-01-07
169.31145435336728,106765600,2022-01-10
171.94187730471353,76138300,2022-01-11
173.90492564658769,74805200,2022-01-12
173.35529415174287,84505800,2022-01-13
170.56774768489342,80440800,2022-01-14
169.35068950665382,90956700,2022-01-18
167.9176743026287,94815000,2022-01-19
166.54354975921092,91420500,2022-01-20
163.25548287606637,122848900,2022-01-21
159.29996087836932,162294600,2022-01-24
159.75143440281596,115798400,2022-01-25
161.35134029387297,108275300,2022-01-26
160.81148242302393,121954600,2022-01-27
167.20116831659928,179935700,2022-01-28
171.76522050687674,115541600,2022-01-31
171.608205971386,86213900,2022-02-01
172.62896017118422,84914300,2022-02-02
172.98232955327137,89418100,2022-02-03
171.09957339010344,82465400,2022-02-04
170.95215737367448,77251200,2022-02-07
172.32805922455944,74829200,2022-02-08
173.60562304759242,71285000,2022-02-09
172.45578102776864,90865900,2022-02-10
170.0971412814251,98670700,2022-02-11
166.65746140454794,86185500,2022-02-14
169.96939522398472,62527400,2022-02-15
170.35268789659128,61177400,2022-02-16
168.9473080022522,69589300,2022-02-17
167.60093126737578,82772700,2022-02-18
163.81727946148703,91162800,2022-02-22
163.28657531432245,90009200,2022-02-23
160.04345337346268,141147500,2022-02-24
162.27433874391238,91974200,2022-02-25
162.56918589174444,95056600,2022-02-28
163.72884988791748,83474400,2022-03-01
164.47576067919033,79724800,2022-03-02
165.9990247912093,76678400,2022-03-03
162.69692876038988,83737200,2022-03-04
162.17604917250483,96418800,2022-03-07
160.0729499038518,131148300,2022-03-08
160.59381791240634,91454900,2022-03-09
157.62585374072555,105342000,2022-03-10
156.5349734862068,96970100,2022-03-11
151.4638968278343,108732100,2022-03-14
152.88891376980982,92964300,2022-03-15
157.24258310394316,102300200,2022-03-16
158.22535413843605,75615400,2022-03-17
161.64539008752615,123511700,2022-03-18
163.48314576119236,95811400,2022-03-21
166.50020354427738,81532000,2022-03-22
169.6647565186416,98062700,2022-03-23
171.13886943985568,90131400,2022-03-24
172.25927004993568,80546200,2022-03-25
172.701479862601,90371900,2022-03-28
175.92493501881802,100589400,2022-03-29
176.51463074136956,92633200,2022-03-30
174.96185802360853,103049300,2022-03-31
171.86613784627107,78751300,2022-04-01
175.4139331761271,76468400,2022-04-04
175.22718178273516,73401800,2022-04-05
170.63771090886573,89058800,2022-04-06
170.37231557194565,77594700,2022-04-07
168.81953778376487,76575500,2022-04-08
166.1169343880837,72246700,2022-04-11
166.94247354315863,79265200,2022-04-12
168.0922875017565,70618900,2022-04-13
168.3183584761883,75329400,2022-04-14
163.72883537462482,69023900,2022-04-18
164.92782013945308,67723800,2022-04-19
165.9695343967265,67929800,2022-04-20
168.57386081804293,87227800,2022-04-21
164.97694406303006,84882400,2022-04-22
160.35793256447772,96046400,2022-04-25
159.54226611663734,95623200,2022-04-26
157.0361817522216,88063200,2022-04-27
161.68469376070493,130216800,2022-04-28
163.33572839193604,131747600,2022-04-29
155.5030679702358,123055300,2022-05-02
157.94034999172632,88966500,2022-05-03
163.61090803537846,108256500,2022-05-04
161.2522547050873,130525300,2022-05-05
156.92246733373918,116124600,2022-05-06
153.36945750408893,131577900,2022-05-09
154.2650810994448,115366700,2022-05-10
152.99546042303857,142689800,2022-05-11
143.89149901958908,182602000,2022-05-12
145.7614978791984,113990900,2022-05-13
145.19065940090803,86643800,2022-05-16
147.40512922042456,78336300,2022-05-17
145.0331931657119,109742900,2022-05-18
139.4231864175674,136095600,2022-05-19
138.47837485147704,137426100,2022-05-20
140.99790624101624,117726300,2022-05-23
139.72828587372672,104132700,2022-05-24
139.55111372624046,92482700,2022-05-25
142.06085975579472,90601500,2022-05-26
147.31655295622195,90978500,2022-05-27
148.28112280430025,103718400,2022-05-31
149.3440325752995,74286600,2022-06-01
148.8814531521364,72348100,2022-06-02
145.63355774291225,88570300,2022-06-03
146.2240967666152,71598400,2022-06-06
146.64729173693155,67808200,2022-06-07
147.50354794884595,53950200,2022-06-08
145.61384732144396,69473000,2022-06-09
138.5374250816839,91437900,2022-06-10
133.0652077917095,122207100,2022-06-13
131.7758582423787,84784300,2022-06-14
135.17136339085118,91533000,2022-06-15
130.29957424502024,108123900,2022-06-16
130.9786539949958,134520300,2022-06-17
134.8958370832566,81000500,2022-06-21
135.5847487472672,73409200,2022-06-22
136.40167037101077,72433800,2022-06-23
139.66925503284406,89116800,2022-06-24
141.2243087499828,70207900,2022-06-27
141.15542444919123,67083400,2022-06-28
138.44883540642064,66242400,2022-06-29
136.1851436237319,98964500,2022-06-30
136.84454604479996,71051600,2022-07-01
139.37399683516924,73353800,2022-07-05
141.8443178517002,74064300,2022-07-06
144.2359625097589,66253700,2022-07-07
145.22018791054785,64547800,2022-07-08
144.3245757006066,63141600,2022-07-11
146.1059542427383,77588800,2022-07-12
144.13756705664937,71185600,2022-07-13
146.59805740261146,78140700,2022-07-14
148.47793549322745,76259900,2022-07-15
149.1766857748829,81420900,2022-07-18
148.8420714884981,82982400,2022-07-19
151.29277530503674,64823400,2022-07-20
153.11353053796404,65086600,2022-07-21
153.8123437761435,66675400,2022-07-22
152.5919073451431,53623900,2022-07-25
150.67267022260623,55138700,2022-07-26
154.8457824202778,78620700,2022-07-27
155.1508622874104,81378700,2022-07-28
161.04629519406532,101786900,2022-07-29
161.00692131549803,67829400,2022-08-01
159.8455883126916,59907000,2022-08-02
163.95956419348943,82507500,2022-08-03
164.5501094435261,55474100,2022-08-04
163.45796799318663,56697000,2022-08-05
165.3897106347166,60276900,2022-08-08
163.42841029450733,63135500,2022-08-09
166.89763621928432,70170500,2022-08-10
168.52384897861626,57149200,2022-08-11
169.68684147739978,68039400,2022-08-12
170.88922057556053,54091700,2022-08-15
171.2045781963011,56377100,2022-08-16
173.60940030005358,79542000,2022-08-17
172.37742744821887,62290100,2022-08-18
171.23417071896347,70346300,2022-08-19
167.41013274664442,69026800,2022-08-22
166.27670374105745,54147100,2022-08-23
165.68539087789364,53841500,2022-08-24
167.68612712105886,51218200,2022-08-25
168.58296208169574,78961000,2022-08-26
160.55051089039753,73314000,2022-08-29
160.2154075742502,77906200,2022-08-30
158.26396254446672,87991100,2022-08-31
156.13513503517575,74229900,2022-09-01
158.04713803269738,76957800,2022-09-02
154.8243141649417,73714800,2022-09-06
154.41038374001005,87449600,2022-09-07
154.10482916146404,84923800,2022-09-08
155.54378723487187,68028800,2022-09-09
161.89090686431402,104956000,2022-09-12
158.2245332834512,122656600,2022-09-13
154.83416823515125,87965400,2022-09-14
153.00101060134492,90481100,2022-09-15
149.16709284731172,162278800,2022-09-16
152.33077056785083,81474200,2022-09-19
155.80004334278618,107689800,2022-09-20
156.4505157277147,101696800,2022-09-21
152.24207704269242,86652500,2022-09-22
149.28538472080464,96029900,2022-09-23
151.55220575538115,93339400,2022-09-26
152.4885283327447,84442700,2022-09-27
148.46734352386844,146691400,2022-09-28
144.603886261403,128138200,2022-09-29
141.03607776050177,124925300,2022-09-30
141.0065607459782,114311700,2022-10-03
144.111062272716,87830100,2022-10-04
145.2543744211321,79471000,2022-10-05
145.41204208560697,68402200,2022-10-06
141.03610072606975,85925600,2022-10-07
139.84354452092543,74899000,2022-10-10
139.31136877975862,77033700,2022-10-11
138.33561191162715,70433700,2022-10-12
141.51902589270472,113224000,2022-10-13
142.43559768266255,88598000,2022-10-14
140.83897177317823,85250900,2022-10-17
144.58414598172774,99136600,2022-10-18
142.8593858144363,61758300,2022-10-19
143.7858266330756,64522000,2022-10-20
145.71757154709675,86548600,2022-10-21
148.0632589024532,75981900,2022-10-24
150.2906525903393,74732300,2022-10-25
149.79789197212497,88194300,2022-10-26
146.900281375259,109180200,2022-10-27
155.22841546191245,164762400,2022-10-28
152.01541585586838,97943200,2022-10-31
153.20796132588728,80379300,2022-11-01
149.97526767506156,93604600,2022-11-02
140.7404292605941,97918500,2022-11-03
140.84553006556408,140814800,2022-11-04
137.37056348588823,83374600,2022-11-07
139.6214071902777,89908500,2022-11-08
136.77824263467366,74917800,2022-11-09
144.99185180664062,118854000,2022-11-10
148.09169315452817,93979700,2022-11-11
148.35822845841318,73374100,2022-11-14
151.6258979697989,89868300,2022-11-15
147.95348958195228,64218300,2022-11-16
149.5428782799837,80389400,2022-11-17
150.74725807535745,74829600,2022-11-18
148.44706955079,58724100,2022-11-21
148.49644255294848,51804100,2022-11-22
149.8884289191742,58301400,2022-11-23
146.9761763880492,35195900,2022-11-25
144.7647839323927,69246000,2022-11-28
142.95819794116494,83763800,2022-11-29
146.81817210889182,111380900,2022-11-30
147.22294276953917,71250400,2022-12-01
146.1073724903674,65447400,2022-12-02
148.99004656094093,68826400,2022-12-05
145.41636538627455,64727200,2022-12-06
141.53659829976584,69721100,2022-12-07
141.68469046865562,62128300,2022-12-08
143.70846830830249,76097000,2022-12-09
142.65213964669184,70462700,2022-12-12
148.05222699321214,93886200,2022-12-13
144.78452547159364,82291200,2022-12-14
139.98666700994897,98931900,2022-12-15
135.88976291691353,160156900,2022-12-16
133.47107341378072,79592600,2022-12-19
131.54601807895426,77432800,2022-12-20
135.06048935091275,85928000,2022-12-21
132.83926868979583,77852100,2022-12-22
130.72661868998517,63814900,2022-12-23
129.72956043211943,69007800,2022-12-27
129.35440133807893,85438400,2022-12-28
128.81143780896,75703700,2022-12-29
128.28819633379305,77034200,2022-12-30
129.22605213593528,112117500,2023-01-03
127.01470850998555,89113600,2023-01-04
126.13608257581905,80962700,2023-01-05
128.62384018148796,87754700,2023-01-06
131.70396238313268,70790800,2023-01-09
129.58144872233615,63896200,2023-01-10
131.80266185993827,69458900,2023-01-11
132.5430854442494,71379600,2023-01-12
133.19463966232263,57809700,2023-01-13
135.53434166770566,63646600,2023-01-17
136.83748784767334,69672800,2023-01-18
134.50765533885576,58280400,2023-01-19
136.25503972906995,80223600,2023-01-20
